Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Watch Shape,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions
"PunnkFunnk Edge-Lite | 1.99 "" Amoled Display | BT Calling | AI Vo...more",PunnkFunnk,"₹1,099",₹698,84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor",BT Calling
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,"₹1,449","₹1,399",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
GameSir Grey Active 2 Bluetooth Calling Watch Fitness Health Spor...more,GameSir,"₹1,351","₹1,349",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
Ezerio Gen 9 Smartwatch Women Watch Fashion Luxury Metal Strap Cl...more,Ezerio,₹918,₹872,75% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, SpO2, Sleep Monitor",BT Calling
sweetex Rose Gold Smart Watch Bluetooth Calling Activity Tracking...more,sweetex,"₹1,499","₹1,509",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,"₹1,449","₹1,499",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crow...more,Fastrack,"₹3,599","₹4,999",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
PunnkFunnk Women Men Heart Rate Blood Pressure Fitness Tracker Sp...more,PunnkFunnk,"₹2,299","₹2,299",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor","BT Calling, Voice Assistant"
Wyltron Smartwatch Black T55 series 8 Bluetooth Calling Fitness (...more,Wyltron,₹697,"₹1,615",74% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor",BT Calling
OXILAG Stylish Gen9 smart watch for women with Two strap Calling ...more,OXILAG,"₹1,499","₹1,349",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,"₹1,349","₹1,399",70% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2",BT Calling
"MORDEN Active 2 Premium Smartwatch with BT Calling, GPS Tracking,...more",MORDEN,"₹1,349","₹1,357",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
Luyten tech Latest Model of Gen 9 For GIrls & Women's Smartwatch ...more,Luyten,"₹1,199","₹1,199",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
GameSir Silicone Active2 Smart Watch: Alloy Case and Super AMOLED...more,GameSir,"₹1,318","₹1,349",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
"S Traditional Trendy latest Gen9 smartwatch, Golden & Pink strap ...more",S,₹936,₹889,71% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
Fastrack Revoltt Pro-1.97'' Super AMOLED Display|AOD|Working Crow...more,Fastrack,"₹2,499","₹4,999",58% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
Fastrack Optimus2 Pro-1.43'' AMOLED|Advanced Blazing Fast UI|AOD|...more,Fastrack,"₹1,505","₹1,499",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,"₹1,505","₹1,499",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"GameSir Active 2 Premium Smartwatch with BT Calling, TWS Connect,...more",GameSir,"₹1,318",₹862,87% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor",BT Calling
"GameSir H9 Black Full Screen Touch Watch, Bluetooth calling, Heal...more",GameSir,"₹1,326","₹1,311",79% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor",BT Calling
FITRIC Gen 9 Model Fitness Health Music Smartwatch: The Next Gene...more,FITRIC,"₹1,505",₹697,84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
Fastrack Revoltt XR1-1.38|BT Calling|Fast Charge|100+ Sports Mode...more,Fastrack,"₹1,509","₹1,399",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"WTG PF9 Series 1.39"" AMOLED Display Music & Fitness BT Calling Lu...more",WTG,"₹1,699","₹1,499",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
OXILAG Gen9 Ladies smartwatch with Two Straps Calling Notificatio...more,OXILAG,"₹1,478","₹1,349",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,₹885,"₹1,299",89% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2","BT Calling, Voice Assistant"
"WTG i8 Pink 1.69"" HD Display Bluetooth Calling, Notifications, Va...more",WTG,₹695,₹685,77% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,BT Calling
"MVC ENTERPRISE Gen9 Smartwatch (Rose Gold, Pink Strap, FREE SIZE)",MVC,"₹1,199","₹1,199",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
